国内,#genre#
Fox_Action,http://47.240.60.73/xaors/mlxy.php?channel=b61626c1c31f90e18e11b966b1e8852d
Fox_Family,http://47.240.60.73/xaors/mlxy.php?channel=3ba015e8638048c187a308f0bde0ce64
Fox Crime,http://47.240.60.73/xaors/mlxy.php?channel=1af2546b32e42ab14b4acb4f23589035
CINEMAX,http://47.240.60.73/xaors/mlxy.php?channel=808e890daad3a20e6f5c1b2cdbfeeb8c
Cinema,http://47.240.60.73/xaors/mlxy.php?channel=32acdba4d4cefaaddf03ccb38ca024cc
Catchplay,http://47.240.60.73/xaors/mlxy.php?channel=2e5a52d78a593a57bd3356ebac908bcd
TVN Korea,http://47.240.60.73/xaors/mlxy.php?channel=ee77ed7d59ce4de4f863989f30121ebf
ONE,http://47.240.60.73/xaors/mlxy.php?channel=696372deace237cc36013295fba5753f
Nat_Geo People,http://47.240.60.73/xaors/mlxy.php?channel=40acf6ec9b997a05880d9c6da90c6316
Nat_Geo HD,http://47.240.60.73/xaors/mlxy.php?channel=54a11a4c208e1d615235f25db0912e75
Nat_Geo Wild,http://47.240.60.73/xaors/mlxy.php?channel=8a37e736a1342a1e6e36f549953dfe90
History,http://47.240.60.73/xaors/mlxy.php?channel=1080ee4db8311690db6d14903a1e9e3d
History 2,http://47.240.60.73/xaors/mlxy.php?channel=65c825988b8d08c2754e2a9442097a10
Discovery_Science,http://47.240.60.73/xaors/mlxy.php?channel=f8909e2127ca00172106da82a4e72925
Discovery Asia,http://47.240.60.73/xaors/mlxy.php?channel=358947976d2b9d3ae645d0afd20e344e
Eve,http://47.240.60.73/xaors/mlxy.php?channel=ea161828292ae0b8b6e4061d251a55fe
Dmax,http://47.240.60.73/xaors/mlxy.php?channel=de7df547c881ea6b5b3aedfbf02e4da4
TLC,http://47.240.60.73/xaors/mlxy.php?channel=1a8645aa713ac3a30ae1df7eb019858d
E! Entertainment,http://47.240.60.73/xaors/mlxy.php?channel=478ee02eaacbc2e27b4718e55c2a5375
Outdoor,http://47.240.60.73/xaors/mlxy.php?channel=ef35a257993110b8c1b2ae722d833355
Cartoon Network Taiwan,http://47.240.60.73/xaors/mlxy.php?channel=e1c5f501ef7a5c226428090a8aede527
Nickelodeon Asia,http://47.240.60.73/xaors/mlxy.php?channel=3fc7eda673deacd9680c7fc23fdc5c53
Baby TV Taiwan,http://47.240.60.73/xaors/mlxy.php?channel=fc693fbb31b3fdabc29a9ffbc4aa4c55
Momo 1,http://47.240.60.73/xaors/mlxy.php?channel=485ea69cc682f6f05825e1a41046d451
MY-Kids TV,http://47.240.60.73/xaors/mlxy.php?channel=9abdf8458ac9e9c942d4aec06817ba79
Disney Taiwan,http://47.240.60.73/xaors/mlxy.php?channel=7ef9bbf7cd82ccdabd04ff7ea3ab66ec
Boomerang TV,http://47.240.60.73/xaors/mlxy.php?channel=e06f3260a4d22169e9eb0677899cd9c3
CBSN ,http://47.240.60.73/xaors/mlxy.php?channel=1334c9450fa81c1e8a6362ab7f9bc4af
CBSN NEWS,http://47.240.60.73/xaors/mlxy.php?channel=37106e445904bedfaaa7152ce6ebde26
LMN,http://47.240.60.73/xaors/mlxy.php?channel=28d53d47e83a90b3b77fd0226ed44a1b
MSNBC,http://47.240.60.73/xaors/mlxy.php?channel=e4e4de33e4d0c43ed3229961c627f37b
MTV,http://47.240.60.73/xaors/mlxy.php?channel=15a57aae7703ea23bd01b3a8ad0e1fc6
NBA,http://47.240.60.73/xaors/mlxy.php?channel=da3e7e7fa538af8c0c807558123e59dc
6TV,http://47.240.60.73/xaors/mlxy.php?channel=85cb150d33c3628889e497aa3460fdc4
GOLF,http://47.240.60.73/xaors/mlxy.php?channel=052ad89fe00e10136cf0be13d4e64e37
NBCSN,http://47.240.60.73/xaors/mlxy.php?channel=95135a0cc6e63e7eefa47220c154c35a
OHK,http://47.240.60.73/xaors/mlxy.php?channel=c8682e3d05029e42cb4560554bfe6276
SMART,http://47.240.60.73/xaors/mlxy.php?channel=8e1346375a98f708c789ceab701fdf9c
BBS,http://47.240.60.73/xaors/mlxy.php?channel=c5f5bd2a5cc905f394e4816f44b254a4
KBS WORLD,http://47.240.60.73/xaors/mlxy.php?channel=36fc97a5452e065625fa6a4121276b54
ABC NEWS,http://47.240.60.73/xaors/mlxy.php?channel=14e7f4f5873086a41607091af91d8992
NEW,http://47.240.60.73/xaors/mlxy.php?channel=418ec850c6b11cf531c0fc554b4cc08e
KORWA,http://47.240.60.73/xaors/mlxy.php?channel=10da95779aab48f3baef3d0a39d34694
FOX,http://47.240.60.73/xaors/mlxy.php?channel=73674e01811737f5c5bc9d098498f6e0
FOX3,http://47.240.60.73/xaors/mlxy.php?channel=d4e6aceeb54b8672281984cec690aff0
truevisionsHD2,http://47.240.60.73/xaors/mlxy.php?channel=c93e7c04c4d3e0749ae501dc9a5d6c8d
truevisions,http://47.240.60.73/xaors/mlxy.php?channel=d060bfb2c038f851ae11e839077b80c3
110,http://47.240.60.73/xaors/mlxy.php?channel=cb35c22078eb6573c96b1d2136b51715
111,http://47.240.60.73/xaors/mlxy.php?channel=b4fca67de7acbc4a698e5c090288dca3
TNT,http://47.240.60.73/xaors/mlxy.php?channel=97994ddcb359f49b0c076b279adbc3fd

哈TV,#genre#
民視HD,http://58.99.33.2:1935/liveedge2/HJKqifRQ_5_1/playlist.m3u8?checkCode=37050688asdfsdfsadf&aa=as
CNN國際新聞,http://58.99.33.2:1935/liveedge2/HJKqifRQ_6_1/playlist.m3u8?checkCode=37050688asdfsdfsadf&aa=as
台視HD,http://58.99.33.2:1935/liveedge2/HJKqifRQ_7_1/playlist.m3u8?checkCode=37050688asdfsdfsadf&aa=as
人間衛視,http://58.99.33.2:1935/liveedge2/HJKqifRQ_8_1/playlist.m3u8?checkCode=37050688asdfsdfsadf&aa=as
中視HD,http://58.99.33.2:1935/liveedge2/HJKqifRQ_9_1/playlist.m3u8?checkCode=37050688asdfsdfsadf&aa=as
大愛電視HD,http://58.99.33.2:1935/liveedge2/HJKqifRQ_10_1/playlist.m3u8?checkCode=37050688asdfsdfsadf&aa=as
華視HD,http://58.99.33.2:1935/liveedge2/HJKqifRQ_11_1/playlist.m3u8?checkCode=37050688asdfsdfsadf&aa=as
動物星球,http://58.99.33.2:1935/liveedge2/HJKqifRQ_12_1/playlist.m3u8?checkCode=37050688asdfsdfsadf&aa=as
公視HD,http://58.99.33.2:1935/liveedge2/HJKqifRQ_13_1/playlist.m3u8?checkCode=37050688asdfsdfsadf&aa=as
好消息,http://58.99.33.2:1935/liveedge2/HJKqifRQ_15_1/playlist.m3u8?checkCode=37050688asdfsdfsadf&aa=as
原住民電視台,http://58.99.33.2:1935/liveedge2/HJKqifRQ_16_1/playlist.m3u8?checkCode=37050688asdfsdfsadf&aa=as
客家電視台,http://58.99.33.2:1935/liveedge2/HJKqifRQ_17_1/playlist.m3u8?checkCode=37050688asdfsdfsadf&aa=as
